timestamp_s,source,fs_hz,sample_index,seq,mode,flags,pending,queue_depth,queue_drop_lsb,status0,status1,status2,ch1_V,ch2_V,ch3_V,ch4_V,ch5_V,ch6_V,ch7_V,ch8_V
0.000000,10uVrms10Hz_ch2pga24.bin,250,0,47827,1,0xA3,1,0,0,192,0,0,113013.826311,-27.537346,132691.696286,137126.281857,124291.285872,0.000000,0.000000,0.000000
0.004007,10uVrms10Hz_ch2pga24.bin,250,1,47828,1,0xA3,1,0,0,192,0,0,113013.803959,-28.207898,132691.159844,137126.170099,124291.241169,0.000000,0.000000,0.000000
0.008005,10uVrms10Hz_ch2pga24.bin,250,2,47829,1,0xA3,1,0,0,192,0,0,113014.854491,-28.498471,132691.763341,137127.220631,124292.291701,0.000000,0.000000,0.000000
0.012006,10uVrms10Hz_ch2pga24.bin,250,3,47830,1,0xA3,1,0,0,192,0,0,113015.457988,-27.984381,132691.763341,137127.690017,124292.805791,0.000000,0.000000,0.000000
0.016010,10uVrms10Hz_ch2pga24.bin,250,4,47831,1,0xA3,1,0,0,192,0,0,113015.256822,-27.313828,132691.092789,137127.310038,124292.604625,0.000000,0.000000,0.000000
0.020010,10uVrms10Hz_ch2pga24.bin,250,5,47832,1,0xA3,1,0,0,192,0,0,113014.832139,-27.090311,132690.355182,137126.885355,124292.135239,0.000000,0.000000,0.000000
0.024011,10uVrms10Hz_ch2pga24.bin,250,6,47833,1,0xA3,1,0,0,192,0,0,113014.742732,-25.212765,132689.729333,137126.684189,124291.956425,0.000000,0.000000,0.000000
0.028012,10uVrms10Hz_ch2pga24.bin,250,7,47834,1,0xA3,1,0,0,192,0,0,113014.563918,-23.223460,132689.081132,137126.415968,124291.799963,0.000000,0.000000,0.000000
0.032016,10uVrms10Hz_ch2pga24.bin,250,8,47835,1,0xA3,1,0,0,192,0,0,113014.228642,-22.083521,132688.276470,137126.013637,124291.598797,0.000000,0.000000,0.000000
0.036017,10uVrms10Hz_ch2pga24.bin,250,9,47836,1,0xA3,1,0,0,192,0,0,113014.407456,-20.094216,132688.052952,137126.170099,124291.755259,0.000000,0.000000,0.000000
0.040018,10uVrms10Hz_ch2pga24.bin,250,10,47837,1,0xA3,1,0,0,192,0,0,113015.145063,-18.082559,132688.187063,137126.773596,124292.336404,0.000000,0.000000,0.000000
0.044022,10uVrms10Hz_ch2pga24.bin,250,11,47838,1,0xA3,1,0,0,192,0,0,113015.413284,-17.456710,132688.008249,137126.795948,124292.626977,0.000000,0.000000,0.000000
0.048022,10uVrms10Hz_ch2pga24.bin,250,12,47839,1,0xA3,1,0,0,192,0,0,113015.413284,-16.070902,132687.449455,137126.661837,124292.626977,0.000000,0.000000,0.000000
0.052023,10uVrms10Hz_ch2pga24.bin,250,13,47840,1,0xA3,1,0,0,192,0,0,113015.167415,-15.020370,132686.823606,137126.483023,124292.403460,0.000000,0.000000,0.000000
