timestamp_s,source,fs_hz,sample_index,seq,mode,flags,pending,queue_depth,queue_drop_lsb,status0,status1,status2,ch1_V,ch2_V,ch3_V,ch4_V,ch5_V,ch6_V,ch7_V,ch8_V
0.000000,5uVp10hz_ch2pga1.bin,250,0,45985,1,0xA3,1,0,0,192,0,0,45786.425471,-21.055341,67259.967327,66972.680390,60659.073293,0.000000,0.000000,0.000000
0.003997,5uVp10hz_ch2pga1.bin,250,1,45986,1,0xA3,1,0,0,192,0,0,45789.822936,-21.032989,67265.577614,66978.693008,60663.387179,0.000000,0.000000,0.000000
0.007998,5uVp10hz_ch2pga1.bin,250,2,45987,1,0xA3,1,0,0,192,0,0,45793.198049,-20.988286,67271.254957,66984.817386,60667.723417,0.000000,0.000000,0.000000
0.012002,5uVp10hz_ch2pga1.bin,250,3,45988,1,0xA3,1,0,0,192,0,0,45796.528459,-21.055341,67276.865244,66990.874708,60671.970248,0.000000,0.000000,0.000000
0.016002,5uVp10hz_ch2pga1.bin,250,4,45989,1,0xA3,1,0,0,192,0,0,45799.925923,-21.100044,67282.453179,66996.909678,60676.194727,0.000000,0.000000,0.000000
0.020006,5uVp10hz_ch2pga1.bin,250,5,45990,1,0xA3,1,0,0,192,0,0,45803.345740,-21.100044,67288.108170,67003.056407,60680.598021,0.000000,0.000000,0.000000
0.024005,5uVp10hz_ch2pga1.bin,250,6,45991,1,0xA3,1,0,0,192,0,0,45806.854963,-21.077693,67293.785512,67009.136081,60684.889555,0.000000,0.000000,0.000000
0.028009,5uVp10hz_ch2pga1.bin,250,7,45992,1,0xA3,1,0,0,192,0,0,45810.185373,-21.055341,67299.395800,67015.148699,60689.158738,0.000000,0.000000,0.000000
0.032008,5uVp10hz_ch2pga1.bin,250,8,45993,1,0xA3,1,0,0,192,0,0,45813.471079,-21.032989,67304.939032,67021.183670,60693.383217,0.000000,0.000000,0.000000
0.036012,5uVp10hz_ch2pga1.bin,250,9,45994,1,0xA3,1,0,0,192,0,0,45816.823840,-21.032989,67310.482264,67027.173936,60697.630048,0.000000,0.000000,0.000000
0.040011,5uVp10hz_ch2pga1.bin,250,10,45995,1,0xA3,1,0,0,192,0,0,45820.131898,-20.943582,67316.092551,67033.186555,60701.854527,0.000000,0.000000,0.000000
0.044015,5uVp10hz_ch2pga1.bin,250,11,45996,1,0xA3,1,0,0,192,0,0,45823.663473,-20.988286,67321.792245,67039.310932,60706.302524,0.000000,0.000000,0.000000
0.048015,5uVp10hz_ch2pga1.bin,250,12,45997,1,0xA3,1,0,0,192,0,0,45827.172697,-20.943582,67327.514291,67045.457661,60710.750520,0.000000,0.000000,0.000000
0.052015,5uVp10hz_ch2pga1.bin,250,13,45998,1,0xA3,1,0,0,192,0,0,45830.480754,-20.965934,67333.191633,67051.537335,60714.997351,0.000000,0.000000,0.000000
0.056017,5uVp10hz_ch2pga1.bin,250,14,45999,1,0xA3,1,0,0,192,0,0,45833.833516,-20.921230,67338.779569,67057.549953,60719.177127,0.000000,0.000000,0.000000
