timestamp_s,source,fs_hz,sample_index,seq,mode,flags,pending,queue_depth,queue_drop_lsb,status0,status1,status2,ch1_V,ch2_V,ch3_V,ch4_V,ch5_V,ch6_V,ch7_V,ch8_V
0.000000,8uVp30Hz_ch2pga24.bin,250,0,54913,1,0xA3,1,0,0,192,0,0,187499.977648,-26.911497,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.004001,8uVp30Hz_ch2pga24.bin,250,1,54914,1,0xA3,1,0,0,192,0,0,187499.977648,-25.033951,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.008001,8uVp30Hz_ch2pga24.bin,250,2,54915,1,0xA3,1,0,0,192,0,0,187499.977648,-22.396445,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.012002,8uVp30Hz_ch2pga24.bin,250,3,54916,1,0xA3,1,0,0,192,0,0,187499.977648,-20.541251,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.016006,8uVp30Hz_ch2pga24.bin,250,4,54917,1,0xA3,1,0,0,192,0,0,187499.977648,-19.960105,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.020007,8uVp30Hz_ch2pga24.bin,250,5,54918,1,0xA3,1,0,0,192,0,0,187499.977648,-21.100044,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.024007,8uVp30Hz_ch2pga24.bin,250,6,54919,1,0xA3,1,0,0,192,0,0,187499.977648,-23.782253,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.028011,8uVp30Hz_ch2pga24.bin,250,7,54920,1,0xA3,1,0,0,192,0,0,187499.977648,-26.509166,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.032012,8uVp30Hz_ch2pga24.bin,250,8,54921,1,0xA3,1,0,0,192,0,0,187499.977648,-26.799738,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.036012,8uVp30Hz_ch2pga24.bin,250,9,54922,1,0xA3,1,0,0,192,0,0,187499.977648,-25.682151,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.040023,8uVp30Hz_ch2pga24.bin,250,10,54923,1,0xA3,1,0,0,192,0,0,187499.977648,-23.938715,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.044023,8uVp30Hz_ch2pga24.bin,250,11,54924,1,0xA3,1,0,0,192,0,0,187499.977648,-20.831823,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.048024,8uVp30Hz_ch2pga24.bin,250,12,54925,1,0xA3,1,0,0,192,0,0,187499.977648,-19.691885,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.052024,8uVp30Hz_ch2pga24.bin,250,13,54926,1,0xA3,1,0,0,192,0,0,187499.977648,-21.100044,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.056027,8uVp30Hz_ch2pga24.bin,250,14,54927,1,0xA3,1,0,0,192,0,0,187499.977648,-23.134053,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.060027,8uVp30Hz_ch2pga24.bin,250,15,54928,1,0xA3,1,0,0,192,0,0,187499.977648,-25.346875,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.064027,8uVp30Hz_ch2pga24.bin,250,16,54929,1,0xA3,1,0,0,192,0,0,187499.977648,-26.576221,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.068030,8uVp30Hz_ch2pga24.bin,250,17,54930,1,0xA3,1,0,0,192,0,0,187499.977648,-26.263297,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.072030,8uVp30Hz_ch2pga24.bin,250,18,54931,1,0xA3,1,0,0,192,0,0,187499.977648,-23.938715,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.076034,8uVp30Hz_ch2pga24.bin,250,19,54932,1,0xA3,1,0,0,192,0,0,187499.977648,-21.077693,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.080035,8uVp30Hz_ch2pga24.bin,250,20,54933,1,0xA3,1,0,0,192,0,0,187499.977648,-20.027161,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.084035,8uVp30Hz_ch2pga24.bin,250,21,54934,1,0xA3,1,0,0,192,0,0,187499.977648,-19.982457,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.088038,8uVp30Hz_ch2pga24.bin,250,22,54935,1,0xA3,1,0,0,192,0,0,187499.977648,-21.904707,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
0.092039,8uVp30Hz_ch2pga24.bin,250,23,54936,1,0xA3,1,0,0,192,0,0,187499.977648,-25.190413,187499.977648,187499.977648,187499.977648,0.000000,0.000000,0.000000
