timestamp_s,source,fs_hz,sample_index,seq,mode,flags,pending,queue_depth,queue_drop_lsb,status0,status1,status2,ch1_V,ch2_V,ch3_V,ch4_V,ch5_V,ch6_V,ch7_V,ch8_V
0.000000,eeg_20260717_105940_gain24.bin,250,0,8,1,0xA3,1,0,0,192,0,0,-87551.392615,-62693.640590,-10483.793914,-1734.226942,-21694.175899,0.000000,0.000000,0.000000
0.004000,eeg_20260717_105940_gain24.bin,250,1,9,1,0xA3,1,0,0,192,0,0,-87339.229882,-62458.612025,-10256.633162,-1501.165330,-20898.140967,0.000000,0.000000,0.000000
0.008001,eeg_20260717_105940_gain24.bin,250,2,10,1,0xA3,1,0,0,192,0,0,-86471.490562,-61618.410051,-9406.819940,-3369.189799,-20797.602832,0.000000,0.000000,0.000000
0.011999,eeg_20260717_105940_gain24.bin,250,3,11,1,0xA3,1,0,0,192,0,0,-85871.413350,-61073.496938,-8839.912713,-5495.332181,-21556.980908,0.000000,0.000000,0.000000
0.016000,eeg_20260717_105940_gain24.bin,250,4,12,1,0xA3,1,0,0,192,0,0,-86648.002267,-61848.320067,-9616.099298,-4232.011735,-22191.569209,0.000000,0.000000,0.000000
0.020000,eeg_20260717_105940_gain24.bin,250,5,13,1,0xA3,1,0,0,192,0,0,-87548.352778,-62694.221735,-10480.865836,-1719.094813,-21701.306105,0.000000,0.000000,0.000000
0.024001,eeg_20260717_105940_gain24.bin,250,6,14,1,0xA3,1,0,0,192,0,0,-87339.006364,-62461.920083,-10260.276496,-1485.854387,-20908.847451,0.000000,0.000000,0.000000
0.028001,eeg_20260717_105940_gain24.bin,250,7,15,1,0xA3,1,0,0,192,0,0,-86476.229131,-61625.629663,-9415.201843,-3343.574703,-20802.140236,0.000000,0.000000,0.000000
0.032001,eeg_20260717_105940_gain24.bin,250,8,16,1,0xA3,1,0,0,192,0,0,-85872.821510,-61077.341437,-8839.108050,-5502.462387,-21571.576595,0.000000,0.000000,0.000000
0.036002,eeg_20260717_105940_gain24.bin,250,9,17,1,0xA3,1,0,0,192,0,0,-86655.020714,-61857.506633,-9619.943798,-4246.428609,-22216.424346,0.000000,0.000000,0.000000
0.040002,eeg_20260717_105940_gain24.bin,250,10,18,1,0xA3,1,0,0,192,0,0,-87554.164231,-62700.144947,-10481.916368,-1720.167696,-21711.453795,0.000000,0.000000,0.000000
0.044000,eeg_20260717_105940_gain24.bin,250,11,19,1,0xA3,1,0,0,192,0,0,-87344.102561,-62467.575073,-10257.191956,-1472.800970,-20908.847451,0.000000,0.000000,0.000000
0.048000,eeg_20260717_105940_gain24.bin,250,12,20,1,0xA3,1,0,0,192,0,0,-86476.027966,-61628.490686,-9410.642087,-3336.980939,-20801.536739,0.000000,0.000000,0.000000
0.052000,eeg_20260717_105940_gain24.bin,250,13,21,1,0xA3,1,0,0,192,0,0,-85864.976048,-61074.592173,-8835.799992,-5493.097007,-21561.518312,0.000000,0.000000,0.000000
0.056000,eeg_20260717_105940_gain24.bin,250,14,22,1,0xA3,1,0,0,192,0,0,-86647.845805,-61853.773892,-9617.350996,-4245.400429,-22207.506001,0.000000,0.000000,0.000000
0.060000,eeg_20260717_105940_gain24.bin,250,15,23,1,0xA3,1,0,0,192,0,0,-87551.593781,-62702.715397,-10489.426553,-1716.256142,-21706.826985,0.000000,0.000000,0.000000
0.064002,eeg_20260717_105940_gain24.bin,250,16,24,1,0xA3,1,0,0,192,0,0,-87345.309556,-62473.230064,-10269.217193,-1475.036144,-20908.981562,0.000000,0.000000,0.000000
0.068002,eeg_20260717_105940_gain24.bin,250,17,25,1,0xA3,1,0,0,192,0,0,-86481.034756,-61634.838581,-9419.851005,-3338.590264,-20802.676678,0.000000,0.000000,0.000000
0.072002,eeg_20260717_105940_gain24.bin,250,18,26,1,0xA3,1,0,0,192,0,0,-85874.430835,-61085.388064,-8844.695985,-5481.250584,-21554.857492,0.000000,0.000000,0.000000
0.076003,eeg_20260717_105940_gain24.bin,250,19,27,1,0xA3,1,0,0,192,0,0,-86643.397808,-61852.611601,-9614.087641,-4257.313907,-22198.453546,0.000000,0.000000,0.000000
0.080003,eeg_20260717_105940_gain24.bin,250,20,28,1,0xA3,1,0,0,192,0,0,-87551.213801,-62701.642513,-10483.570397,-1724.123955,-21699.272096,0.000000,0.000000,0.000000
0.084004,eeg_20260717_105940_gain24.bin,250,21,29,1,0xA3,1,0,0,192,0,0,-87352.797389,-62477.722764,-10268.434882,-1453.511417,-20893.469453,0.000000,0.000000,0.000000
0.088001,eeg_20260717_105940_gain24.bin,250,22,30,1,0xA3,1,0,0,192,0,0,-86488.321424,-61643.019319,-9425.863624,-3301.687539,-20780.727267,0.000000,0.000000,0.000000
